id_dato,indicador,valor_numerico,unidad,ano,cobertura_geografica,municipio,sector,nivel_evidencia,id_fuente,nota
D24,Empresas de construccion,490,empresas,2024,Region - 10 municipios,Todos,Construccion,A,F01,
D25,Empresas de agricultura ganaderia caza silvicultura y pesca,487,empresas,2024,Region - 10 municipios,Todos,Agro,A,F01,En descenso desde 536 en 2016
D26,Empresas de transporte y almacenamiento,333,empresas,2024,Region - 10 municipios,Todos,Transporte,A,F01,Unico cluster con variacion negativa: -2.7 por ciento
D27,Empresas de actividades profesionales cientificas y tecnicas,338,empresas,2024,Region - 10 municipios,Todos,Servicios profesionales,A,F01,
D28,Empresas de informacion y comunicaciones,122,empresas,2024,Region - 10 municipios,Todos,TIC,A,F01,Descenso sostenido desde 178 en 2016: senal de que el sector TIC local se contrae
D29,Empresas de atencion de la salud humana,90,empresas,2024,Region - 10 municipios,Todos,Salud,A,F01,Descenso desde 162 en 2016
D30,Empresas de educacion,70,empresas,2024,Region - 10 municipios,Todos,Educacion,A,F01,
D31,Hectareas de banano de exportacion,32465,hectareas,2025,Region,Uraba,Agro - banano,A,F06,Fuente Augura
D32,Cajas de banano exportadas desde Uraba,82000000,cajas de 20 kg,2025,Region,Uraba,Agro - banano,A,F06,
D33,Hectareas de banano zona Caribe (Magdalena La Guajira Cesar),20478,hectareas,2025,Otras regiones - contexto de expansion,No aplica,Agro - banano,A,F06,Mercado de expansion natural fuera de Uraba
D34,Valor de las exportaciones de banano de Colombia,1309000000,dolares FOB,2025,Nacional - contexto,No aplica,Agro - banano,A,F06,Crecimiento de 21.6 por ciento
D35,Fincas bananeras de exportacion,320,fincas,2023-2024,Region,Uraba,Agro - banano,B,F07,Mayoritariamente afiliadas a Augura
D36,Fincas bananeras de Uniban,151,fincas,2023-2024,Region,Uraba,Agro - banano,B,F07,15.743 hectareas
D37,Grupos empresariales bananeros en negociacion colectiva,85,grupos,2019-2023,Region,Uraba,Agro - banano,A,F08,Universo real de compradores para software de finca bananera
D38,Fincas cubiertas por la convencion colectiva,275,fincas,2019-2023,Region,Uraba,Agro - banano,A,F08,Cada finca con su propia convencion
D39,Trabajadores cubiertos por la convencion colectiva,22000,trabajadores,2019-2023,Region,Uraba,Agro - banano,A,F08,
D40,Labores comunes negociadas en todas las fincas,10,labores,2019,Region,Uraba,Agro - banano,A,F08,Mas 28 labores adicionales con procedimiento de negociacion
D41,Hectareas de platano,8000,hectareas,2023-2025,Region,Uraba,Agro - platano,B,F10,
D42,Pequenos productores de platano,2000,productores,2023-2025,Region,Uraba,Agro - platano,B,F10,Promedio de 3.6 hectareas por productor
D43,Pequenos agricultores independientes integrados por Uniban,2440,productores,2025,Municipios,Chigorodo Necocli Belen de Bajira Sta Maria la Antigua,Agro - platano,A,F09,Declaracion del presidente de Uniban
D44,Cajas de platano exportadas por Uniban de pequenos productores,4000000,cajas al ano,2025,Municipios,Chigorodo Necocli Belen de Bajira Sta Maria la Antigua,Agro - platano,A,F09,
D45,Cajas de platano recibidas por semana (derivado),=C45/52,cajas por semana,2025,Municipios,Idem D44,Agro - platano,A,F09,Formula viva sobre D44: volumen del proceso que la oportunidad 1 pretende digitalizar
D46,Sitios de acopio estimados en Uraba,25,acopios,2026,Region,Uraba,Agro - platano y banano,C,Inferencia,INFERENCIA NO VERIFICADA: 2.440 productores dividido por ~150 productores por acopio da ~16 acopios en Uniban y se extrapola al resto del sector
D47,Pasajeros movilizados en el aeropuerto de Carepa,186174,pasajeros,2024,Municipio,Carepa,Transporte aereo,A,F30,En 20.890 operaciones aereas
D48,Participacion de Necocli en los visitantes de Uraba,25.53,porcentaje,2025 T1,Municipio,Necocli,Turismo,A,F28,Seguido de Arboletes 25.04 Mutata 20.5 Turbo 19.17 y Apartado 9.76
D49,Ocupacion hotelera en Semana Santa,100,porcentaje,2025,Region,Uraba,Turismo,A,F29,Dato de pico estacional: no representa la ocupacion promedio anual
D50,MYPES de Apartado con procedimientos formales de gestion,25,porcentaje aproximado,2025,Municipio,Apartado,Multisectorial,A,F03,
D51,MYPES de Apartado dispuestas a participar en programas incluida digitalizacion,85,porcentaje aproximado,2025,Municipio,Apartado,Multisectorial,A,F03,Pero solo ~30 por ciento se considera preparado y las barreras principales son financieras
D52,Contrato publico de software SINAP V6 CORPOURABA,44629200,pesos colombianos,2025,Municipio,Apartado,Contratacion publica,A,F19,Contrato 200-10-01-12-0161-2025 proveedor Integral V6 SAS
D53,Contrato publico de software INTEGRA y facturacion electronica Terminal de Transporte,33476280,pesos colombianos,2025,Municipio,Apartado,Contratacion publica,A,F19,Contrato PS08-2025 proveedor Consultores Tecnologicos SAS
D54,Gasto publico anual verificado en software en Apartado (parcial),"=C53+C54",pesos colombianos,2025,Municipio,Apartado,Contratacion publica,A,F19,Formula viva; suma parcial y no exhaustiva de la consulta a SECOP II
D55,Inicio de operacion comercial de Puerto Antioquia,2026-02-05,fecha,2026,Municipio,Turbo,Logistica portuaria,A,F11,Resolucion MinTransporte 20263040003075 del 29-01-2026
D56,Empresas nuevas proyectadas por Puerto Antioquia,800,empresas,proyeccion,Region,Uraba,Logistica,C,F11,PROYECCION DEL PROYECTO no resultado observado. No usar como base de dimensionamiento
D57,Empleos indirectos proyectados por Puerto Antioquia,17000,empleos,proyeccion,Region,Uraba,Logistica,C,F11,PROYECCION DEL PROYECTO no resultado observado
