id_fuente,titulo,institucion_autor,fecha_publicacion,fecha_consulta,url,cobertura_geografica,municipio,sector,tipo_fuente,nivel_evidencia,oportunidad_relacionada,cifra_o_afirmacion_soportada,confiabilidad,limitaciones
F11,Puerto Antioquia inicio su operacion comercial,El Tiempo / El Colombiano / Valora Analitik,2026-02,2026-07-24,https://www.elcolombiano.com/antioquia/puerto-antioquia-operaciones-comerciales-logistica-IG33247852,Municipio,Turbo,Logistica portuaria,Medio economico nacional,A,"O5, O7","Operacion comercial habilitada por Resolucion MinTransporte 20263040003075 del 29-01-2026, inicio 5-02-2026; muelle de 1.340 m, 5 posiciones de atraque, calado 16,5 m, plataforma de 38 ha; hasta 9 buques semanales",Alta,Las proyecciones de 800 empresas y 17.000 empleos indirectos son estimaciones del proyecto (nivel C) y no resultados observados
F12,A tres meses de abrir Puerto Antioquia Turbo enfrenta un gran obstaculo la via de acceso aun no existe,Diario ADN,2026-05,2026-07-24,https://www.diarioadn.co/noticias/tres-meses-de-abrir-puerto-antioquia-turbo-enfrenta-un-gran-obstaculo-la-de-acceso-aun-no+articulo+71155,Municipio,Turbo,Logistica / infraestructura,Medio nacional,A,"O5, O7","Un corredor de 20 km entre el corregimiento Rio Grande y Nueva Colonia hacia la variante de acceso al puerto tiene indefinicion sobre si es via privada, de fincas bananeras o inventario distrital",Media-alta,Nota periodistica; no cuantifica el sobrecosto logistico
F13,Software especializado para la industria bananera - XASS ERP Cloud,Agrosoft LATAM (Guayaquil Ecuador),2026 (catalogo 2026),2026-07-24,https://www.agrosoftlatam.com/banano.html,Internacional (7 paises),No aplica,Software agroindustrial,Sitio oficial de proveedor,A,"O1, O2, O3, O8, O12","Competidor con 30 anos, +40.000 ha bananeras gestionadas, 7 paises; modulos de produccion y pesaje, contabilidad y costos, SCM1 exportacion con tarja/asignacion de precios/liquidacion de fruta, nomina agricola con parte diario por cuadrilla-lote-actividad y calculo de IESS, BI y trazabilidad; apps Merma, Labores Agricolas y Verifruta",Alta,"No publica precios; el modulo de nomina calcula IESS (Ecuador), no PILA ni nomina electronica DIAN; no se documenta ningun cliente en Colombia ni en Uraba"
F14,Software banano platano pina - SM Solucion,SM Solucion,sin fecha,2026-07-24,https://sites.google.com/site/smsolucion/,No especificada,No aplica,Software agroindustrial,Sitio de proveedor,C,"O1, O2","Ofrece software para banano, platano y pina con modulos de nomina, insumos y produccion",Baja,Sitio en Google Sites sin fecha ni referencias de clientes ni precios; no verificable
F15,Software SGSST y control de ingreso de contratistas a planta,Verifty Colombia,2025-2026,2026-07-24,https://www.verifty.com/verificacion-trabajadores,Nacional,No aplica,Software SST,Sitio oficial de proveedor,A,"O4, O5(SST)","Plataforma colombiana de SG-SST con verificacion documental de contratistas, gestion de capacitaciones y control de EPP, alineada a Decreto 1072 y Resolucion 0312",Media-alta,No publica precios
F16,Software de gestion documental de contratistas,CTAIMA Colombia,2025-2026,2026-07-24,https://ctaima.co/,Global con operacion en Colombia,No aplica,Software SST,Sitio oficial de proveedor,A,O4,"Red global que conecta mas de 100.000 contratistas y subcontratistas con mas de mil clientes",Media-alta,Cifra autodeclarada por el proveedor; no publica precios
F17,Cuanto cuesta el SG-SST en Colombia - precios reales 2026,Mentora Colombia,2026,2026-07-24,https://mentoracolombia.com/cuanto-cuesta-el-sg-sst-colombia,Nacional,No aplica,Consultoria SST,Proveedor de servicios (precios publicados),B,"O4, O5(SST), anclaje de precio","Asesoria SG-SST mensual desde COP 349.000; diseno documental para microempresa desde ~COP 690.000; implementacion pyme entre COP 1,5 y 3,5 millones; mantenimiento mensual entre COP 250.000 y 680.000",Media,Precios de un solo proveedor con interes comercial; sirve como anclaje de orden de magnitud y no como precio de mercado
F18,Precios de software contable - planes Alegra Colombia,Alegra,2026,2026-07-24,https://www.alegra.com/colombia/contabilidad/precios/,Nacional,No aplica,Software administrativo,Sitio oficial de proveedor,A,Anclaje de precio,"Plan Pyme COP 149.900 al mes para ingresos de hasta COP 40.000.000 mensuales",Alta,Producto generico; no comparable funcionalmente pero util como piso de precio SaaS en Colombia
F19,SECOP II Contratos Electronicos - consulta ciudad Apartado termino software,Colombia Compra Eficiente / datos.gov.co (dataset jbjy-vk9h),2026 (datos vivos),2026-07-24,https://www.datos.gov.co/Estad-sticas-Nacionales/SECOP-II-Contratos-Electr-nicos/jbjy-vk9h,Municipio,Apartado,Contratacion publica / software,Plataforma oficial de contratacion,A,Evidencia de gasto,"CORPOURABA contrato actualizacion, soporte y mantenimiento del software SINAP V6 por COP 44.629.200 (contrato 200-10-01-12-0161-2025, firmado 15-05-2025, proveedor Integral V6 SAS) y por COP 13.600.000 en la vigencia 2022; la Terminal de Transporte de Apartado contrato actualizacion y soporte del software INTEGRA mas facturacion electronica cloud e-GOPETT por COP 33.476.280 (PS08-2025, firmado 25-02-2025, proveedor Consultores Tecnologicos SAS)",Alta,"Consulta limitada a ciudad = Apartado y termino libre 'software'; no cubre Turbo, Carepa ni Chigorodo ni objetos contractuales redactados sin esa palabra"
F20,El ICA declaro la region de Uraba libre de Fusarium Raza 4 Tropical,Instituto Colombiano Agropecuario (ICA) y MinAgricultura,2021 (Resolucion 095026) y refuerzo 2026,2026-07-24,https://www.ica.gov.co/noticias/ica-declaro-uraba-libre-fusarium-raza-4-tropical,Region,Uraba,Agroindustria - sanidad vegetal,Entidad publica / autoridad sanitaria,A,O7,"El ICA declaro a Uraba area libre de Foc R4T mediante Resolucion 095026 de 2021 y establecio medidas fitosanitarias para su mantenimiento, tras 5 anos de vigilancia con 90% de cobertura del area sembrada; la resolucion aplica en Arboletes Apartado Carepa Chigorodo Necocli San Pedro de Uraba San Juan de Uraba y Turbo (Antioquia) y en Acandi Belen de Bajira Carmen del Darien Riosucio y Unguia (Choco); el ICA y Augura tienen instalados 15 puestos de control en Uraba con acompanamiento de DITRA la Policia Nacional y el Ejercito donde se inspecciona la movilizacion de material vegetal y se realiza lavado y desinfeccion de vehiculos; mas de 46.000 personas capacitadas; en 2026 el ICA reforzo la vigilancia",Alta,"VERIFICADA POR LECTURA DIRECTA DE LA FUENTE. El estatus de area libre implica obligaciones de bioseguridad y una red de 15 puestos de control ya operando, pero la norma no exige explicitamente un registro digital y el gasto asociado no esta cuantificado publicamente. La operacion la financian ICA y Augura, no la finca individual: esto confirma la falsacion aplicada a la oportunidad O4"
F21,Plan Nacional de prevencion vigilancia y control de Foc R4T / Resolucion 2081 de 2024,Instituto Colombiano Agropecuario (ICA),2024,2026-07-24,https://www.ica.gov.co/noticias/ica-bioseguridad-vigilancia-fitosanitaria-fusarium,Nacional,No aplica,Sanidad vegetal,Norma / entidad publica,A,O7,"El ICA adopto el plan nacional con medidas de bioseguridad, exclusion, control y vigilancia en predios productores de platano y banano; el riesgo cubre mas de 575.000 ha en 32 departamentos",Alta,Cobertura nacional; se usa como contexto normativo y no como evidencia de demanda local
F22,Confirman presencia de Fusarium Raza 4 Tropical en Ecuador,Portal Fruticola / Agrocalidad,2025-12-18,2026-07-24,https://www.portalfruticola.com/noticias/2025/12/18/ecuador-fusarium-caso/,Internacional,No aplica,Sanidad vegetal,Medio sectorial,B,O7,Se confirmo un caso de Foc R4T en Ecuador en diciembre de 2025 (confinado y bajo control),Media-alta,Relevante como aumento de la presion sanitaria regional; no es evidencia de demanda en Uraba
F23,Certificacion Rainforest Alliance y GLOBALG.A.P.,Kiwa Colombia,2025-2026,2026-07-24,https://www.kiwa.com/co/es-co/tipo-de-servicio/certificacion/certificacion-rainforest-alliance-ra-globalg.a.p.-gg,Nacional / internacional,No aplica,Certificacion agricola,Organismo certificador,A,O3,"Minoristas y distribuidores de banano exigen con frecuencia doble certificacion RA + GG tanto en fincas como en plantas de manipulacion; ambas auditan todo el proceso productivo desde la siembra",Alta,No cuantifica costo ni carga documental por finca
F24,Descripcion general de la certificacion Rainforest Alliance y plataforma MyRA,Rainforest Alliance,2025-2026,2026-07-24,https://knowledge.rainforest-alliance.org/docs/es/overview-of-the-rainforest-alliance-certification,Internacional,No aplica,Certificacion agricola,Entidad certificadora,A,O3 (falsacion),Rainforest Alliance provee la plataforma MyRA a los titulares de certificado para registros y gestion de la certificacion,Alta,Evidencia que reduce la brecha de la oportunidad 3: parte del problema ya tiene herramienta gratuita del certificador
F25,Colombia amplia la logistica y las marcas de sus bananos en Europa,FreshPlaza / Agrolatam,2025-2026,2026-07-24,https://www.freshplaza.es/spain/article/9769588/colombia-amplia-la-logistica-y-las-marcas-de-sus-bananos-en-europa/,Nacional,No aplica,Agroindustria - banano,Medio sectorial,B,"O1, O3","La produccion colombiana cuenta con certificaciones GlobalGAP, GRASP, Rainforest Alliance y Fairtrade que avalan practicas agricolas, condiciones laborales y trazabilidad",Media,Nota sectorial sin metodologia; consistente con F23
F26,Reglamento de la UE sobre productos libres de deforestacion (EUDR),Comision Europea - DG Medio Ambiente,2026 (actualizacion de plazos),2026-07-24,https://environment.ec.europa.eu/topics/forests/deforestation/regulation-deforestation-free-products_en,Internacional,No aplica,Regulacion comercial,Entidad publica supranacional,A,Falsacion transversal,"El EUDR cubre siete materias primas: ganado, cacao, cafe, aceite de palma, caucho, soya y madera. El banano NO esta incluido. Empresas grandes y medianas cumplen desde el 30-12-2026 y las pymes desde el 30-06-2027",Alta,"Hallazgo de falsacion: descarta construir una hipotesis de trazabilidad EUDR para banano de Uraba. Si aplicaria a ganaderia y palma de aceite de la region"
F27,Bananeros exportaciones record y retos de precios dolar y clima en 2026,Portafolio / Augura,2026,2026-07-24,https://www.portafolio.co/economia/agro/la-adecuada-labor-de-los-bananeros-nos-llevo-a-lograr-record-en-exportaciones-augura-492687,Region y nacional,Uraba,Agroindustria - banano,Medio economico,A,"O1, O2","Tras el record de 2025 el sector advierte presion por aumento de costos de produccion, impacto de lluvias en Uraba y necesidad de un precio justo del retail europeo; se proyecta caida en 2026",Alta,"Contexto macro: presion de costos aumenta la disposicion a reducir gasto administrativo, pero tambien reduce el apetito por nuevo gasto en software"
F28,Informe de inteligencia turistica de Antioquia - subregion Uraba,Secretaria de Turismo de Antioquia - Sistema de Inteligencia Turistica,2023-2025,2026-07-24,https://secretaria.turismoantioquia.travel/wp-content/uploads/2023/12/6.Informe-Uraba.pdf,Region y municipios,"Necocli, Arboletes, Mutata, Turbo, Apartado",Turismo,Entidad publica departamental,A,O9,"En el primer trimestre de 2025 Necocli fue el municipio mas visitado de Uraba con 25,53% de los visitantes, seguido de Arboletes 25,04%, Mutata 20,5%, Turbo 19,17% y Apartado 9,76%",Media-alta,El PDF enlazado corresponde al informe de 2023; la cifra de 2025 proviene de reportes posteriores del mismo sistema
F29,En un 5-9% crecio la ocupacion hotelera en Antioquia durante la Semana Mayor,Gobernacion de Antioquia - Secretaria de Desarrollo Economico,2025-04,2026-07-24,https://www.antioquia.gov.co/index.php/noticias-secretaria-desarrollo-economico/en-un-5-9-crecio-la-ocupacion-hotelera-en-antioquia-durante-la-semana-mayor,Region,Uraba,Turismo,Entidad publica departamental,A,O9,"La zona de Uraba presento la mayor ocupacion hotelera de Antioquia en Semana Santa 2025 con 100%, por encima de Medellin-Santa Elena (98,6%) y El Poblado (73,98%)",Alta,"Dato de pico estacional; no representa la ocupacion promedio anual y no debe usarse para dimensionar demanda continua"
F30,Aeropuerto Antonio Roldan Betancur - cifras 2024,Aeropuerto de Carepa (citado en Estudio Economico CCU 2024),2025-01,2026-07-24,https://www.aeropuertocarepa.co/noticias/en-2024-asi-nos-fue-en-apo,Municipio,Carepa,Transporte aereo / turismo,Operador aeroportuario,A,"O9, contexto","En 2024 se movilizaron 186.174 pasajeros en 20.890 operaciones aereas en el aeropuerto de Carepa",Media-alta,Fuente citada indirectamente a traves del estudio de la CCU
F31,Plan de Desarrollo Municipal Apartado unidos por la vida 2024-2027,Alcaldia de Apartado,2024,2026-07-24,https://repositoriocdim.esap.edu.co/handle/20.500.14471/28470,Municipio,Apartado,Multisectorial / politica publica,Entidad publica municipal,B,Contexto,El plan de desarrollo vigente prioriza poblaciones vulnerables y desarrollo economico local,Media,No se logro extraer el diagnostico economico detallado desde el repositorio en la fecha de consulta
F32,Plan de Desarrollo Departamental Por Antioquia Firme 2024-2027,Gobernacion de Antioquia,2024-08-15,2026-07-24,https://www.antioquia.gov.co/images/plan%20de%20Desarrollo/15082024%20Plan%20de%20Desarrollo%20Por%20Antioquia%20Firme%202024-2027.pdf,Departamental,No aplica,Politica publica,Entidad publica departamental,B,Contexto,Marco de politica departamental vigente que incluye a Uraba como subregion prioritaria,Media,Documento departamental usado solo como contexto; no aporta cifras de Uraba desagregadas para esta investigacion
F33,Manual de labores en fincas bananeras,Asociacion de Bananeros de Colombia (Augura),sin fecha (obra de referencia),2026-07-24,https://books.google.com/books/about/Manual_de_labores_en_fincas_bananeras.html?id=zRUINAEACAAJ,Region,"Uraba y Magdalena",Agroindustria - banano,Gremio,B,"O2, O8","Existe un manual gremial de labores de campo y empacadora especifico para las regiones de Uraba y Magdalena, lo que confirma que la operacion se organiza formalmente por labores estandarizadas",Media,Sin fecha de edicion verificable; se usa solo para confirmar la existencia de la estructura de labores
F34,Estado de las vias en Antioquia para el inicio de 2026,Gobernacion de Antioquia,2026-01,2026-07-24,https://antioquia.gov.co/index.php/antioquiacuenta/estado-de-las-vias-en-antioquia-para-el-inicio-de-este-2026,Departamental,"Turbo, Apartado, Chigorodo",Infraestructura vial,Entidad publica departamental,A,"O5, O7",Reporte oficial del estado de la conexion vial Medellin-Uraba al inicio de 2026,Media-alta,Reporte operativo puntual; no cuantifica costos logisticos
F35,Compara los mejores software SG-SST Colombia,ComparaSoftware Colombia,2025,2026-07-24,https://www.comparasoftware.co/software-sg-sst,Nacional,No aplica,Software SST,Comparador comercial,C,"O4, O5(SST) - falsacion",Existe una oferta amplia y comparable de software SG-SST en el mercado colombiano,Baja,"Agregador comercial con incentivos de afiliacion; se usa unicamente como senal de saturacion del mercado, no como fuente de datos"
F36,Software de gestion agropecuaria en Colombia,ComparaSoftware Colombia,2025,2026-07-24,https://www.comparasoftware.co/administracion-agropecuaria,Nacional,No aplica,Software agropecuario,Comparador comercial,C,"O1, O8, O16 - falsacion","Existen al menos diez productos de gestion agropecuaria disponibles en Colombia (Sismagro, Elconix, AgroGI, Sofia Gestion Agricola, Logismic ERP Agricola, TaurusWebs, Kumen, Nandu, Tambero)",Baja,"Agregador comercial; no verifica adopcion real ni presencia en Uraba. Debe confirmarse producto por producto antes de afirmar competencia"
